neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Aleppo,2123,152,19,27,2858,319,2023-04-03
Allegheny Center (Pittsburgh),1695,195,5,18,3124,414,2023-04-03
Allegheny West (Pittsburgh),523,76,0,5,1132,119,2023-04-03
Allentown (Pittsburgh),3523,582,2,39,5145,680,2023-04-03
Arlington (Pittsburgh),2597,396,9,35,4043,502,2023-04-03
Arlington Heights (Pittsburgh),212,16,3,4,571,44,2023-04-03
Aspinwall,2976,286,2,16,6339,631,2023-04-03
Avalon,6555,777,15,88,10413,1190,2023-04-03
Baldwin Borough,34839,4391,79,395,47187,6250,2023-04-03
Baldwin Township,2675,191,2,16,3821,530,2023-04-03
Banksville (Pittsburgh),6264,809,22,45,8653,1135,2023-04-03
Bedford Dwellings (Pittsburgh),1598,286,7,43,2637,405,2023-04-03
Beechview (Pittsburgh),10062,1063,19,99,16223,2106,2023-04-03
Bell Acres,1378,178,6,13,2519,336,2023-04-03
Bellevue,10150,1244,12,85,15733,2009,2023-04-03
Beltzhoover (Pittsburgh),2256,383,6,53,3398,511,2023-04-03
Ben Avon,1938,168,5,10,3670,434,2023-04-03
Ben Avon Heights,414,23,0,0,829,105,2023-04-03
Bethel Park,47040,5538,111,352,70144,8308,2023-04-03
Blawnox,1530,178,5,21,2637,289,2023-04-03
Bloomfield (Pittsburgh),12622,1297,12,78,26514,2435,2023-04-03
Bluff (Pittsburgh),21574,1913,5,69,23227,2160,2023-04-03
Bon Air (Pittsburgh),776,54,2,13,1446,212,2023-04-03
Brackenridge,6250,829,27,90,9503,989,2023-04-03
Braddock,3186,524,1,55,5123,675,2023-04-03
Braddock Hills,2313,383,5,38,3997,493,2023-04-03
Bradford Woods,967,41,1,8,2038,266,2023-04-03
Brentwood,14381,1618,24,110,20577,2791,2023-04-03
Bridgeville,7750,762,16,63,9901,1426,2023-04-03
Brighton Heights (Pittsburgh),10658,1430,17,123,17654,2186,2023-04-03
Brookline (Pittsburgh),17111,1801,22,145,26182,3441,2023-04-03
California-Kirkbride (Pittsburgh),1039,126,4,8,1798,220,2023-04-03
Carnegie,10807,1473,13,77,15567,2174,2023-04-03
Carrick (Pittsburgh),12622,1649,30,159,19515,2599,2023-04-03
Castle Shannon,10711,1339,11,64,16489,2052,2023-04-03
Central Business District (Pittsburgh),7239,473,1,41,16994,1385,2023-04-03
Central Lawrenceville (Pittsburgh),9758,1304,24,67,16690,1258,2023-04-03
Central Northside (Pittsburgh),4135,403,5,45,8163,911,2023-04-03
Central Oakland (Pittsburgh),6271,333,1,9,14995,1151,2023-04-03
Chalfant,858,54,1,9,1562,177,2023-04-03
Chartiers City (Pittsburgh),650,101,2,12,1090,167,2023-04-03
Chateau (Pittsburgh),262,62,0,1,491,54,2023-04-03
Cheswick,2183,236,3,33,2841,404,2023-04-03
Churchill,3013,233,6,39,6205,689,2023-04-03
Clairton,9491,1269,21,145,14526,1978,2023-04-03
Collier,11889,1412,12,55,16804,2369,2023-04-03
Coraopolis,7706,1154,14,62,9594,1453,2023-04-03
Crafton,7658,657,18,70,11734,1708,2023-04-03
Crafton Heights (Pittsburgh),4848,566,7,40,7832,1138,2023-04-03
Crawford-Roberts (Pittsburgh),3694,584,12,92,6480,865,2023-04-03
Crescent,2985,538,10,31,4069,592,2023-04-03
Dormont,10322,1227,7,60,16639,2068,2023-04-03
Dravosburg,2540,371,8,36,3670,489,2023-04-03
Duquesne,7750,1161,27,144,11834,1700,2023-04-03
Duquesne Heights (Pittsburgh),3586,349,5,25,5648,729,2023-04-03
East Allegheny (Pittsburgh),2581,320,6,38,4543,570,2023-04-03
